Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,23.770000,24.270000,23.520000,23.570000,23.357275,92200
2020-10-08,23.750000,23.980000,23.700001,23.790001,23.575293,84900
2020-10-09,23.850000,24.370001,23.719999,24.000000,23.783394,67100
2020-10-12,23.990000,24.340000,23.790001,24.150000,23.932041,49000
2020-10-13,23.910000,24.049999,23.590000,23.840000,23.624838,66800
2020-10-14,23.760000,24.020000,23.360001,23.490000,23.277998,103500
2020-10-15,23.209999,24.000000,22.980000,23.850000,23.634748,110900
2020-10-16,23.709999,24.309999,23.570000,24.049999,23.832945,77600
2020-10-19,24.150000,24.170000,23.610001,23.750000,23.535650,62400
2020-10-20,23.940001,24.080000,23.639999,23.770000,23.555471,58300
2020-10-21,23.879999,24.059999,23.760000,24.030001,23.813126,34500
2020-10-22,24.139999,24.650000,23.950001,24.500000,24.278883,46500
2020-10-23,24.559999,25.219999,24.559999,24.750000,24.526627,59500
2020-10-26,24.490000,24.490000,23.709999,24.040001,23.823036,48400
2020-10-27,24.049999,24.379999,23.750000,24.260000,24.041050,88800
2020-10-28,24.070000,26.180000,23.600000,25.500000,25.269857,304500
2020-10-29,25.780001,26.230000,25.070000,25.700001,25.468052,123000
2020-10-30,25.760000,26.129999,25.450001,25.809999,25.577059,121300
2020-11-02,26.139999,26.459999,25.950001,26.270000,26.032909,87600
2020-11-03,26.510000,27.930000,26.500000,27.740000,27.489641,108900
2020-11-04,27.330000,27.840000,27.070000,27.350000,27.103161,69400
2020-11-05,27.480000,28.260000,27.420000,27.780001,27.529280,47100
2020-11-06,27.889999,27.889999,26.969999,27.049999,26.902710,60400
2020-11-09,27.530001,28.610001,26.780001,26.790001,26.644127,128800
2020-11-10,27.129999,27.620001,26.510000,27.139999,26.992220,60300
2020-11-11,27.110001,27.549999,26.690001,27.070000,26.922600,49200
2020-11-12,26.990000,27.379999,26.520000,27.180000,27.032003,68800
2020-11-13,27.360001,28.100000,27.219999,27.879999,27.728189,60800
2020-11-16,28.530001,29.719999,28.250000,29.219999,29.060894,134300
2020-11-17,29.299999,29.790001,28.730000,28.920000,28.762527,57200
2020-11-18,28.930000,29.280001,28.610001,28.610001,28.454216,52200
2020-11-19,28.580000,28.990000,28.330000,28.719999,28.563616,46300
2020-11-20,28.680000,29.000000,28.120001,28.889999,28.732691,63000
2020-11-23,29.240000,29.389999,28.820000,28.900000,28.742636,58500
2020-11-24,29.150000,29.500000,28.950001,29.230000,29.070839,112600
2020-11-25,29.100000,29.270000,28.540001,28.809999,28.653128,70000
2020-11-27,28.740000,28.780001,28.000000,28.459999,28.305031,28800
2020-11-30,28.389999,28.389999,27.150000,27.209999,27.061838,108500
2020-12-01,27.350000,28.760000,27.309999,27.870001,27.718246,96000
2020-12-02,27.700001,27.860001,27.209999,27.690001,27.539227,55600
2020-12-03,27.740000,28.170000,27.600000,27.730000,27.579006,42700
2020-12-04,27.910000,28.700001,27.879999,28.650000,28.493998,43900
2020-12-07,28.639999,28.799999,28.290001,28.540001,28.384598,58300
2020-12-08,28.320000,29.379999,28.230000,29.260000,29.100676,114400
2020-12-09,29.480000,30.610001,29.379999,29.850000,29.687466,177100
2020-12-10,31.990000,31.990000,29.900000,30.719999,30.552727,262000
2020-12-11,30.610001,30.700001,29.639999,29.709999,29.548225,107400
2020-12-14,30.150000,30.270000,29.110001,29.450001,29.289642,100400
2020-12-15,29.770000,29.770000,29.370001,29.500000,29.339371,83000
2020-12-16,29.510000,29.540001,28.780001,29.049999,28.891819,91200
2020-12-17,29.010000,29.780001,28.780001,29.750000,29.588009,135100
2020-12-18,29.809999,30.559999,29.340000,30.000000,29.836647,232800
2020-12-21,29.799999,30.420000,29.299999,30.200001,30.035559,92500
2020-12-22,30.330000,30.610001,29.990000,30.510000,30.343870,71200
2020-12-23,30.549999,31.110001,30.379999,30.490000,30.323978,81300
2020-12-24,30.709999,30.950001,30.280001,30.840000,30.672073,29900
2020-12-28,31.000000,31.590000,30.990000,31.400000,31.229023,86500
2020-12-29,31.299999,31.750000,30.420000,30.760000,30.592508,80400
2020-12-30,31.059999,31.670000,30.889999,30.940001,30.771528,46500
2020-12-31,31.000000,31.540001,30.910000,31.320000,31.149458,53200
2021-01-04,31.520000,31.620001,30.709999,30.969999,30.801365,77900
2021-01-05,31.000000,32.020000,31.000000,31.809999,31.636791,94900
2021-01-06,32.049999,34.000000,32.049999,33.430000,33.247971,157100
2021-01-07,34.000000,34.430000,33.660000,33.980000,33.794975,117700
2021-01-08,34.110001,34.180000,33.250000,33.630001,33.446884,92400
2021-01-11,33.250000,33.910000,33.000000,33.119999,32.939655,78600
2021-01-12,33.369999,33.720001,33.000000,33.240002,33.059006,82100
2021-01-13,33.130001,33.410000,32.830002,33.349998,33.168404,76100
2021-01-14,33.619999,34.070000,33.450001,33.939999,33.755192,90700
